Incubation_Center,Name_of_startup,Location of company,Sector
ABES Ghaziabad,Suryansh,New Delhi,EdTech
AIC Banasthali Vidyapith Foundation,Thinkpods Education Services Private Limited (previously That Mate),"Satara, Maharashtra",Ed Tech
AIC Banasthali Vidyapith Foundation,Inventiway Solutions Pvt.Ltd.,"Mumbai, Maharashtra",HR Tech
AIC Banasthali Vidyapith Foundation,C2M Internet India Pvt. Ltd.,"Lucknow, Uttar Pradesh",Retail Tech
AIC Pinnacle Entrepreneurship Forum,Wastinno,"Pune, Maharashtra",agriculture
AIC Pinnacle Entrepreneurship Forum,Diabetico - Rise and Move,"Pune, Maharashtra",Healthcare
AIC Pinnacle Entrepreneurship Forum,3DGuru Innovations,"Pune, Maharashtra",EduTech
AIC Pinnacle Entrepreneurship Forum,Gupte Education,"Pune, Maharashtra","Ed Tech, Defence"
AIC Pinnacle Entrepreneurship Forum,Eldew Digital Pvt Ltd,"Pune, Maharashtra","IT, Virtual Events"
AIC Pinnacle Entrepreneurship Forum,Secumatic Technologies LLP,"Pune, Maharashtra",Defense
AIC Pinnacle Entrepreneurship Forum,Catalystgreen Private Limited,"Pune, Maharashtra",E-Mobility
AIC Pinnacle Entrepreneurship Forum,Dynateq Consulting Pvt.Ltd.,"Pune, Maharashtra",Industril Automation
AIC@36Inc,TECHB,Bhilai,3d printer and cnc manufacturing
AIC@36Inc,Acculegal Services Private Limited,Raipur,"Finance, Legal , consultancy, accounting"
AIC@36Inc,Bastar Se Bazar Tak Private Limited,Uttar Bastar,Agri-business
AIC@36Inc,Coshal Art,Raipur,Handicraft
AIC@36Inc,Jivandeep,Raipur,Healthcare
AIC@36Inc,Binomial Analytics,Raipur,IT and Technology Innovation
AIC@36Inc,Rawfit,Raipur,Heathcare & Wellness
AIC@36Inc,WedNicely,Raipur,eInvitations & Wedding Technology
Amity Technology Incubator,Plabs Solutions Pvt. Ltd.,"Ghaziabad, Uttar Pradesh",Healthtech
Amity University Haryana,nanoLatticeX,"Gurugram, Haryana",nanotechnology
Amity University Haryana,NanoMask (It is our first product. Actual startup name to be revealed soon after trademark registration),"Gurugram, Haryana",Face Mask
Atal Incubation Centre ALEAP We Hub,Neoinventronix Pvt Ltd,"Hyderabad, Telangana",ICT Electronics
Atal Incubation Centre ALEAP We Hub,Binford Research Lab Pvt Ltd,"Hyderabad, Telangana",ICT Electronics
Atal Incubation Centre ALEAP We Hub,Nimaya Robotics Pvt Ltd,"Chennai, Tamilnadu",ICT Electronics
Atal Incubation Centre ALEAP We Hub,Rmatics Solutions LLP,"Hyderabad, Telangana",ICT Electronics
Atal Incubation Centre ALEAP We Hub,Eurth Techtronics Private Limited,"Vijayawada, Andhra Pradesh",ICT Electronics
BEA,Ozzie Technologies,"Kolkata, West Bengal",Information Technologies
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Predible Health Pvt Ltd,"Bengaluru, Karnataka",Healthcare
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Personal Air Quality Systems Private Limited,"Bengaluru, Karnataka","Product designer & Entrepreneur, Innovator, Technologist, Air Quality solutions"
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Salcit Technologies Private Limited,"Hyderabad, Telangana",Digital Health
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),AgSmartic Technologies Pvt Ltd,New Delhi,Agritech
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Aikenist Technologies Pvt Ltd,"Bengaluru, Karnataka",Digital Health
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),ARQ Solution LLP,"Mumbai, Maharashtra",Healthcare
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Xensible Innovation Lab Pvt. Ltd.,"Bengaluru, Karnataka",Digital Health
Bio-incubator at Centre for Cellular and Molecular Platforms (C-CAMP),Sensai Healthcare Private Limited,"Bengaluru, Karnataka",Digital Health
Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),Rekindle Automations Pvt Ltd,"Chennai, Tamilnadu",Healthcare
Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),Hivericks Technologies Pvt Ltd,"Chennai, Tamilnadu",Clean Tech
Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),MedCuore Medical Solutions Pvt Ltd,"Chennai, Tamilnadu",Retail CRM
Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),MedCuore Medical Solutions Pvt Ltd,"Chennai, Tamilnadu",Healthcare
Centre for Innovation and Entrepreneurshp Development at IIIT Sri City (CIEDI),Nandha Infotech,"Coimbatore, Tamil Nadu",Agriculture
Chitkara innovation Incubator Foundation,Xovian Aerospace Pvt Ltd,"Bengaluru, Karnataka",Aerospace and defence
Chitkara innovation Incubator Foundation,Dagriation Solutions Pvt Limited,Karnal,IT & Electronics
Chitkara innovation Incubator Foundation,Murph Technologies Pvt Limited,Chandigarh,IOT
Chitkara innovation Incubator Foundation,6DOF Solutions LLP,Chandigarh,AR/VR
Chitkara innovation Incubator Foundation,Hackspace Security Services LLP,"Delhi, Delhi",Healthcare
Chitkara innovation Incubator Foundation,Sustainergic Tech Pvt. Ltd.,Chandigarh,IOT
CIIE Initiatives,GalaxEye,"Chennai, Tamilnadu",Smart infrastructure
CIIE Initiatives,Extrawatts Renewables Pvt Ltd.,New Delhi,Cleantech and Environment
CIIE Initiatives,Urban Air Labs,"Delhi, Delhi",Clean tech
CIIE Initiatives,Nunam Technology India Private Limited,"Bengaluru, Karnataka",Cleantech
CIIE Initiatives,Kidaura,"Nashik , Maharashtra",Healthcare
CIIE Initiatives,Aiborne Tech,"Delhi, Delhi",Skilling & Edtech
CIIE Initiatives,Pacify Medical,"Mumbai, Maharashtra",Healthcare
CIIE Initiatives,Evoluto,"Bengaluru, Karnataka",Healthcare
CIIE Initiatives,Redicine Medsol,"Ahmedabad, Gujarat",Healthcare
CIIE Initiatives,Minocular,Raipur,Smart infrastructure / Mining
CIIE Initiatives,Godaam Innovations Pvt. Ltd.,"Nashik , Maharashtra",Agritech
CIIE Initiatives,Articulus Surgical,"Bengaluru, Karnataka",Healthcare
CTIE,Encephalon Solutions,"Hubli, Karnataka",Medical
DERBI Foundation,Backyard Creators Pvt Ltd,Madhurai,Healthcare
DERBI Foundation,Machphy Solutions,Bhubaneswar,Healthcare
DERBI Foundation,Fititout Solutions,"Chennai, Tamilnadu",Healthcare
DERBI Foundation,Carbon Hubs Private Limited,"Bengaluru, Karnataka",Clean and Health Tech
DERBI Foundation,Prayasta 3D Inventions Private Limited,"Bengaluru, Karnataka",Healthcare
DERBI Foundation,Acculi Labs Pvt Ltd.,"Bengaluru, Karnataka",Healthcare
DERBI Foundation,Hinnts Consultancy Services Private Limited,"Bengaluru, Karnataka",Healthcare
FIRST SIIC IIT Kanpur,WeRehab Technologies Pvt. Ltd.,"Kanpur, Uttar Pradesh",Health Tech
FIRST SIIC IIT Kanpur,Campus Haat Solutions Pvt Ltd,"Kanpur, Uttar Pradesh",Social Commerce
"FITT, IIT Delhi",Dweepi Innovations Pvt Ltd,Visakhapatnam,"Railways, transportation"
"FITT, IIT Delhi",Trydan Motors Private Limited,New Delhi,E-mobility
"FITT, IIT Delhi",Let's Farm (Shvaas Sustainable Solutions Private Limited),"Jaipur, Rajasthan",Agri-Tech
"FITT, IIT Delhi",Ambrosius Tech Pvt. Ltd.,"Satara, Maharashtra",EdTech
"FITT, IIT Delhi",Materate Education Pvt Ltd,New Delhi,Education
"FITT, IIT Delhi",Neem Tree Agro Solutions Private Limited,"Delhi, Delhi",AgriTech
"FITT, IIT Delhi",MeuKron Technologies,"Belagavi, Karnataka",Healthcare
"FITT, IIT Delhi",NextLeap Aeronautics Pvt Ltd,"Bengaluru, Karnataka","Aerospace, UAV, Drones, Defence"
"FITT, IIT Delhi",Andromeida Maritime Solutions Pt. Ltd.,"Gurugram, Haryana",Robotics
"FITT, IIT Delhi",Ominar Innovations,"Pune, Maharashtra",Digital Health helathcare
